,IFI27,RPL5,ZBP1,IFITM1,EPSTI1,EBI2,FCER1A,GADD45A,TNFSF13B,IFIT2,OSBPL10,SCRN1,TNFAIP6
GSM1199381,4.790650537,11.64489313,7.590651536,10.75305147,8.008144897,9.199644783,9.744447215,5.9879846605000004,9.412887234,9.78053908,5.714894923,6.956505478,5.5216399275
GSM1199384,7.593308505,11.74312557,8.049506829,11.54263459,7.837342105,8.660878006499999,9.99035405,6.359002293,9.449404744999999,10.05820219,5.496274279,6.537341681,5.704206336
GSM1199386,4.52385702,10.94982354,7.754175963,11.04246049,8.408079943,8.532690117,9.71850795,5.624324902,9.8679340945,8.779552444,5.180305011,7.156424643,5.3188505290000005
GSM1199388,11.38711142,10.114719,8.815433395,11.95040322,10.25950425,6.1268075985,6.17609379,8.086429966,10.464645655,11.43586996,4.859851007,4.787411829,6.910643132000001
GSM1199391,12.21162675,10.91864253,8.873017198,11.98565106,10.53565745,7.082692418000001,8.047899074,6.0545884625,10.2740354435,11.75509051,5.113376478,6.4824145,6.0613957285
GSM1199394,5.385829751,11.68277712,8.089753547,11.4898832,9.088899927,8.033830886,8.983811821,6.074359253,10.214518324,10.48203146,5.291951179,6.098534494,5.8081109565
GSM1199396,13.21329711,10.85085446,9.660444574,12.57539503,11.20959626,6.9810067465,8.397580802,6.9164352345,11.242446054999998,12.44786446,4.854539354,6.200364973,6.9583937425
GSM1199398,9.53983335,9.828641099,9.20993002,12.37088576,10.34120269,7.038749867,8.437967746,7.66648505,10.725943274999999,12.7088112,4.397613456,4.692173507,6.780402953499999
GSM1199399,12.96730675,10.11960777,10.16716385,12.74605,11.22139807,6.6763617505,8.872204987,6.604425991499999,11.179653725,12.59251298,3.803076501,6.760833971,6.858806574999999
GSM1199400,5.459854543,10.97764841,7.934990287,11.86980117,9.132539565,7.8955237,8.504789116,6.0242927795,10.1727086205,10.14109828,6.068468226,6.330049571,5.6568892139999996
GSM1199401,13.30042157,10.09765899,10.10418146,12.71898427,11.38390062,7.583046904,6.388256132,6.9426073630000005,11.61278888,12.78942844,5.052112057,5.824881617,6.6900855870000004
GSM1199402,13.79836135,10.32332388,8.874771911,12.28228521,10.8046699,7.493700582500001,7.736249395,6.5973476689999995,10.494326425,11.74681684,4.84080063,5.930838415,5.980188071
GSM1199403,12.6541914,10.82707973,9.149514846,12.18826948,10.55055096,7.985861154,8.506852891,6.0448491695,10.23309962,11.21504945,5.111663741,6.36785485,5.7336438255
GSM1199404,13.01682453,10.89122033,9.647943713,12.76786576,11.32839099,7.86826007,8.841793921,5.9333793635,11.118279265,12.89505905,4.71074817,6.392774647,6.661870655
GSM1199405,10.77437415,10.61821369,9.326712481,12.33395043,10.89122033,7.858465875,8.947330092,7.341450901,11.045269335,12.17800595,4.911956607,6.102143359,6.3103963709999995
GSM1199406,7.668802298,8.844995383,11.1528913,13.28014559,11.65992532,6.0318946715,7.974705235,7.695125383500001,12.62210988,13.30042157,4.139380668,4.948136229,7.749608557
GSM1199407,13.27284464,9.642830287,11.06441393,13.03115298,12.03229334,6.951431469,7.528759493,7.462103565,11.829199,13.24579734,4.674430765,6.431765354,6.958869131
GSM1199408,5.091797665,10.77898662,7.514336942,11.23112122,8.602234205,7.5539646605,7.455928157,6.2645326145,9.869316976,9.802608011,5.503116458,6.302105361,5.9664493929999995
GSM1199409,8.582058186,11.10290227,6.893838266,11.8654196,7.176481231,8.0820110455,8.615811724,6.3782515715,9.6258518435,9.49329792,4.893204072,6.892423046,5.543657196
GSM1199410,7.639910519,10.0843388,8.276492143,11.57835273,6.762284631,7.2636081805,7.904554285,7.357823035999999,10.442611854999999,10.34297732,4.400592899,6.185333829,6.44330824
GSM1199411,13.74773223,10.08872392,9.88139942,12.31345601,10.50911046,6.0137289785,4.446819378,7.728225221500001,10.2130504165,11.59971309,4.260327727,6.444324972,6.0345182269999995
